brand,OS,processor,RAM,storage,display,num_of_ratings,num_of_reviews,warranty,product_rating,price
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
ASUS,Windows OS,Intel i5,16,512.0,15,7525.0,419.0,1,4.2,48990.0
HP,Windows OS,Intel i5,16,512.0,15,61.0,3.0,1,4.4,62990.0
Acer,Windows OS,Intel i7,16,1024.0,14,88.0,9.0,1,4.1,84990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
Acer,Windows OS,Intel i7,16,512.0,14,495.0,33.0,1,4.3,43990.0
MSI,Windows OS,Intel i5,16,512.0,14,193.0,21.0,1,4.4,41990.0
MSI,Windows OS,Intel i7,16,512.0,15,126.0,13.0,2,4.1,59990.0
Acer,Windows OS,Intel i1,8,512.0,14,400.0,60.0,1,3.8,19990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
ASUS,Chrome OS,Intel i1,4,512.0,15,2242.0,201.0,1,3.8,14990.0
Acer,Windows OS,Intel i5,8,512.0,15,1836.0,133.0,1,4.3,52990.0
Acer,Windows OS,Intel i5,16,512.0,15,1836.0,133.0,1,4.3,54990.0
ASUS,Windows OS,Intel i7,16,512.0,15,81.0,8.0,1,4.5,83990.0
Acer,Windows OS,Intel i5,8,512.0,14,2692.0,194.0,1,4.1,38990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,16,914.0,78.0,1,4.1,149990.0
Acer,Windows OS,Intel i5,16,512.0,14,2692.0,194.0,1,4.1,40990.0
Acer,Windows OS,AMD Ryzen 7,16,512.0,15,278.0,40.0,1,4.3,68990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,15,914.0,78.0,1,4.1,138990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,15,914.0,78.0,1,4.1,154990.0
ASUS,Windows OS,Intel i3,8,512.0,15,12211.0,953.0,1,4.3,32990.0
MSI,Windows OS,Intel i7,16,512.0,15,6.0,0.0,1,4.0,63990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
HP,Windows OS,Intel i3,16,512.0,15,30.0,4.0,1,3.9,33790.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
Acer,Windows OS,Intel i5,12,512.0,15,361.0,37.0,1,4.2,44990.0
ASUS,Windows OS,Intel i3,8,512.0,15,12211.0,953.0,1,4.3,32700.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
Acer,Windows OS,Intel i5,16,512.0,14,2692.0,194.0,1,4.1,40990.0
HP,Windows OS,AMD Ryzen 3,16,512.0,15,13.0,0.0,1,4.4,28090.0
Lenovo,Windows OS,AMD Ryzen 7,24,512.0,15,853.0,63.0,1,4.5,87990.0
Acer,Windows OS,Intel i7,16,1024.0,16,80.0,12.0,1,4.4,114990.0
Acer,Windows OS,,16,512.0,14,106.0,23.0,1,4.5,64990.0
ASUS,Chrome OS,Intel i1,4,512.0,15,2242.0,201.0,1,3.8,14990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,14,914.0,78.0,1,4.1,139990.0
ASUS,Windows OS,Intel i3,8,512.0,15,23.0,3.0,1,4.3,36990.0
ASUS,Windows OS,Intel i3,16,512.0,15,12211.0,953.0,1,4.3,36990.0
SAMSUNG,Windows OS,Intel i7,16,512.0,16,914.0,78.0,1,4.1,149990.0
SAMSUNG,Windows OS,Intel i7,16,1024.0,15,914.0,78.0,1,4.1,138990.0
Lenovo,Windows OS,Intel i5,8,512.0,14,754.0,55.0,1,4.1,35490.0
Lenovo,Windows OS,Intel i7,24,512.0,15,161.0,18.0,1,4.6,109990.0
HP,Windows OS,AMD Ryzen 3,8,512.0,15,278.0,27.0,1,4.1,25799.0
Lenovo,Windows OS,Intel i5,16,512.0,15,1472.0,131.0,1,4.3,72990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,15,914.0,78.0,1,4.1,154990.0
SAMSUNG,Windows OS,Intel i7,32,1024.0,16,914.0,78.0,1,4.1,181990.0
MSI,Windows OS,Intel i7,16,512.0,14,2.0,1.0,1,5.0,49990.0
MSI,Windows OS,Intel i3,8,512.0,14,15.0,1.0,1,4.6,28990.0
HP,Chrome OS,Intel i1,4,512.0,14,1960.0,141.0,1,4.1,19990.0
SAMSUNG,Windows OS,Intel i3,8,512.0,15,2726.0,340.0,1,4.5,41990.0
ASUS,Windows OS,Intel i5,8,512.0,15,136.0,5.0,1,4.2,45990.0
Lenovo,Windows OS,Intel i5,16,512.0,15,558.0,42.0,1,4.3,72990.0
SAMSUNG,Windows OS,Intel i5,16,512.0,15,5535.0,485.0,1,4.5,59990.0
MSI,Windows OS,Intel i3,8,512.0,14,110.0,14.0,1,4.4,30500.0
Lenovo,Chrome OS,MediaTek,8,512.0,14,1463.0,125.0,1,3.8,23850.0
SAMSUNG,Windows OS,Intel i7,16,512.0,15,914.0,78.0,1,4.1,122990.0
ASUS,Chrome OS,Intel i1,4,512.0,14,2594.0,228.0,1,3.8,13990.0
HP,Windows OS,AMD Ryzen 5,16,512.0,15,26.0,4.0,1,3.9,43990.0
ASUS,Chrome OS,Intel i1,4,512.0,15,2242.0,201.0,1,3.8,14990.0
