text,target,clean_text
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
Ok lar... Joking wif u oni...,ham,ok lar joking wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18
U dun say so early hor... U c already then say...,ham,u dun say early hor u c already say
"Nah I don't think he goes to usf, he lives around here though",ham,nah think go usf life around though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",spam,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send 1 50 rcv
Even my brother is not like to speak with me. They treat me like aids patent.,ham,even brother like speak treat like aid patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,gonna home soon want talk stuff anymore tonight k cried enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,six chance win cash 100 20 000 pound txt csh11 send 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,urgent 1 week free membership 100 000 prize jackpot txt word claim 81010 c www dbuk net lccltd pobox 4403ldnw1a7rw18
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,date sunday
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
Oh k...i'm watching here:),ham,oh k watching
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,eh u remember 2 spell name yes v naughty make v wet
Fine if thats the way u feel. Thats the way its gota b,ham,fine way u feel way gota b
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam,england v macedonia dont miss goal team news txt ur national team 87077 eg england 87077 try wale scotland 4txt 1 20 poboxox36504w45wq 16
Is that seriously how you spell his name?,ham,seriously spell name
I‘m going to try for 2 months ha ha only joking,ham,going try 2 month ha ha joking
So ü pay first lar... Then when is da stock comin...,ham,pay first lar da stock comin
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
Ffffffffff. Alright no way I can meet up with you sooner?,ham,ffffffffff alright way meet sooner
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
Lol your always so convincing.,ham,lol always convincing
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,catch bus frying egg make tea eating mom left dinner feel love
"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,back amp packing car let know room
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,ahhh work vaguely remember feel like lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,wait still clear sure sarcastic x want live u
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 go badly cheer
K tell me anything about you.,ham,k tell anything
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,fear fainting housework quick cuppa
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,thanks subscription ringtone uk mobile charged 5 month please confirm replying yes reply charged
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,yup ok go home look timing msg xuhui going learn 2nd may lesson 8am
"Oops, I'll let you know when my roommate's done",ham,oops let know roommate done
I see the letter B on my car,ham,see letter b car
Anything lor... U decide...,ham,anything lor u decide
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,hello saturday go texting see decided anything tomo trying invite anything
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,pls go ahead watt wanted sure great weekend abiola
